review_title,review_rating,review_date,review_body,user_contributions
One massive flaw with this hotel,10,Date of stay: December 2021,"There is one massive flaw with this hotel. You cannot set the temperature in your room to the temperature you want. I have stayed here three times in October to December and the first two times, I thought it was my problem not being able to re-set the room thermostat. The first time, I could cope and managed to sleep. The second time the room was freezing and I had to sleep in day clothes to stay warm. The final time, the room was 25 degrees and I couldn’t breathe! I called down to reception to ask for a technician to come to the room to show me how to work the thermostat and was told that it was centrally set and could not be adjusted. In such a modern hotel, this is ludicrous. I am apparently not the only person to complain but management don’t seem to want to know. This is…",71
Came for the view; would return for the service,50,Date of stay: August 2021,"I booked the Romeo specifically for the view of the Bay of Naples and Vesuvius. Note this is only likely if you book a junior suite because as well as some number of rooms facing the city, there is a port building across the road which could also block the view. The restaurant is on the top floor though and it offers an unobstructed view whether you are at breakfast, or dinner. (I am reviewing that separately but it is also excellent.) The room was exactly as described, and all the facilities including wifi worked well. The location is 90% plus, 10% minus. The plus is that it is very close to many of the sights: Castel Nuovo, Royal Palace, Via Chiaia. The ferries to Capri and the islands are literally across the road. The minus is that said road is busy, and the port itself is…",41
"Expensive, and border line worth it",50,Date of stay: August 2021,"The view is amazing. The service is good, but I was left flat to be honest. I expected more of this hotel when I booked it. When we arrived the valet was top notch. Unloaded our rental car and sent the bags straight away, brilliant! Check In was easy as well. When we got to the room it was gorgeous! Our daughter hogged the bath all night. We got a book that told us all about Naples. We ordered a bottle of wine and enjoyed it! Then we tried to book dinner. Fully booked. We walked to our own dinner. It was OK, but we got no recommendations from the hotel besides a small book. We returned from dinner and no knowing that guests were obviously not provided priority we tried to book the pool. The pool was the only thing our kids were looking forward to. I has shown them pictures…",250
Very stylish hotel not to be missed!,40,Date of stay: October 2021,"I just read Xmaxma’s review and totally disagree. Did we stay at the same hotel?? We just stayed there for 4 days at the end of Sept/early Oct and had an excellent time. The lobby area was stylish, very clean and well maintained. The lobby and bar areas are very well decorated and actually have comfortable seating throughout. In terms of decoration, I would have to say that it is one of the more interesting hotel lobby areas I have seen in many years. The outside cactus garden is quite large and also well maintained. The elevators run smoothly and we had close to zero wait time. The views from the upper restaurant and terrace are spectacular and the location makes taking a ferry to Ischia or Procida very easy. Lastly, the staff were excellent — very friendly and…",30
An ok hotel for €200,30,Date of stay: September 2021,Construction is going on all around the hotel. The lobby and rooms could be cleaner. Service is slow. I think the hotel is way overpriced. Be careful in south ipItaly everyone is trying to rip off some money off you all around.,1
Perfect home base in bustling Napoli,50,Date of stay: September 2021,"Napoli is a bustling city, with great potential for tourism, as it is also the center of an attractive region with Capri, Pompei, and the Amalfi coast all nearby. Hotel Romeo is a great starting point, and retreat after a day in the sometimes hectic and chaotic city. The architecture is modern, stylish, yet full of warmth. This stylishness combined with warmth and friendliness seems also common with the locals, and especially the staff of the hotel. They are competent and fast, but you also feel like their personal guest. The view on harbor shows a mix of industry, with some derelict warehouses, and giant cruise ships stopping for one day (which is definitely not enough for Napoli and is surroundings). Behind the harbor, you see parts of the bay of Naples, with Mount…",24
Romeo Disappoints,30,Date of stay: August 2021,"Situated on a fairly busy thoroughfare in Naples, this is a very sleek and stylish looking hotel. Our Jr Suite, facing toward the Bay of Naples, was adequate in size with modern bathroom. The view, however, was of assorted terminals from which ferries and cruise ships of all sizes come and go. There was no view of the Bay, Vesuvius or Capri. During our stay, the world's largest cruise ship arrived to the port and if we otherwise had had a view, this ship would surely have blocked it. The 10th floor open dining room does have a view...when there is the slightest breeze, the smell of marine fuel and the smoke stack stench are palpable. Reception helped us with dining reservations, but on several occasions provided us with misinformation, costing valuable time and missed…",34
Excellent Stay,50,Date of stay: September 2021,"Hotel Romeo was a delightful stay for my first visit to Napoli. Check-in was seamless, then housekeeping generously and quickly responded to my requests for a few items I neglected to pack. The pool is by reservation for Covid considerations, and though it is not for sport, was quite refreshing and beautiful to enjoy rooftop views of the city. In the lounge, Danilo’s command of English and warm demeanor put me at ease when I asked for expert local recommendations; and I appreciate the front desk’s partnership with a very prompt taxi for my early flight. In all, the gracious team at Hotel Romeo helped my solo business trip feel more like a lovely, relaxing weekend holiday. I look forward to my next visit!",4
Most comfortable and convenient stay in Naples,50,Date of stay: September 2021,"Romeo Hotel definitely has the best views as you can get rooms facing the port and Mount Versuvius which is very beautiful. The hotel has all of the modern amenities you need to be comfortable. I really loved the huge luxurious tub in my room. There's a spa, gym and great rooftop pool where you can swim and have drinks with a view. The hotel is close to the Spanish Quarter and within walking distance to the city center and all the main attractions of Naples without being in the thick of it all. Definitely recommend for a comfortable and convenient stay!",4
The Room Was Incredible!,50,Date of stay: August 2021,Really beautiful room with an excellent harbor view. Our evening dinners at the restaurant were so romantic. My expectations were met and exceeded in regards to the service provided by all the wonderful staff.,21
Very cool vibe with a wonderful restaurant and friendly staff.,40,Date of stay: August 2021,"We stayed 4 nights at Romeo after leaving a bad experience at the Villa Marina Capri Hotel. We were thrilled to get the extra night on one day's notice! Location is near the cruise ship docks so its a bit gritty, but we were able to walk to all the major sites in Naples. Our room, Deluxe harbor view, was small, but comfortable. The bathroom/shower configuration is tight, with one sink. The decor is an eclectic mix of Japanese zen and Italian. We loved it! Due to COVID, the bistro (more casual restaurant) was only open on weekends so we did not get a chance to try it; Il Commandante is a treat for gourmandes but not suited for casual dining at dinner. Breakfast and lunch are available and we enjoyed light lunch of pasta pomodoro and salad. The spa was closed, but the small pool…",10
Romeo hotel Naples,40,Date of stay: August 2021,"Dear all, we spent a nice week in Romeo hotel. All employed people were very friendly and customer oriented. Special thank to the reception (Aura) and the restaurant staff (Danilo, Mario, Ciro). The hotel is well located, the best harbor view. Vit & family",1
Great service,50,Date of stay: August 2021,"We were lucky to meet Alessandro, the best receptionist we ever had! He was kind, professional, funny,... everything anyone in this sector should aim for! He made our stay in napels even more enjoyable. If he is working when you're staying at Romeo, prepare for an very enjoyable stay!",1
Best place to stay in Naples!,50,Date of stay: July 2021,"Stunning hotel with impeccable service. The restaurant is a “must do” with it’s superior food and staff plus amazing view of the bay. The location is a perfect mix — safe and luxurious with view of the water while you are in walking distance to the historic sites, local restaurants and shops.",2
"Not worth the money, really disappointing",20,Date of stay: June 2021,"Be aware that as of July 21, the pool is not in operation. This was not disclosed to use before we arrived. Even if it was open, you need to have a reservation and can only stay a maximum of 2 hours. Same with the spa. Even if you are a guest of the hotel, and just want to use the facilities (with no treatment appointment), you still have to make a reservation and only stay two hours. We booked this hotel in order to use their pool, and were very disappointed when we discovered it was closed. We called and went down to the front desk to see what other options we had. The staff was not very accommodating to make up for this. The spa was full, but they managed to squeeze us in. In other news, the porter took TWO HOURS to bring our luggage to our room!!! I wish I was joking. We…",2
"Modern, excellent hotel on the waterfront in Naples",40,Date of stay: July 2021,"Modern, excellent hotel on the waterfront in Naples. The front desk service is excellent and the hotel is impeccably maintained. It is located in a convenient area to historic sites, however the immediate neighborhood is a bit gritty.",1
They copied my credit card,10,Date of stay: October 2020,"On our last night at 2:50am I got a notification from my bank saying a payment had been declined, the hotel had copied my card and tried to take out £645, luckily I didn’t have enough money in my account for them to take it. Did speak to reception about it and they were very panicked and said it was a system error of theirs and does sometimes happen which doesn’t seem right to me. Never been to a hotel where that’s happened before and we paid our deposit at the beginning of our stay so wasn’t anything to do with that. Hotel was alright, not in an amazing area or views but we knew that from seeing pictures on here and Instagram. Spa was nice and room modern.",1
Great service and very modern,50,Date of stay: September 2020,"I had a great experience in this hotel with my friends for four days. Sadly due to covid there were very few other guests and the pool was restricted. Even with those restrictions the hotel was still amazing, they gave us great and friendly service. They had some amazing wines and restaurants. The interior is full of art and modern touches, a very nice games room to play some pool and listen to music and have some drinks. Their staff speaks very good english. I would really recommend this hotel to anyone staying in naples.",5
Not the view in the pic,20,Date of stay: September 2020,"Good points first. Staff were lovely, friendly and very helpful. Rooms were well equipped and clean. Now for the reality. We were in a Deluxe Harbour View room with in their words “a panoramic view of the Port of Naples and the harbour of Naples” and a “splendid view of land and sea”. They should write fairly tales because this is far from the truth (as my photos will show). From our room we had a splendid view of a large car park and a very drab, decrepit brown building. We could see a scrap of harbour between the ferries and Mt Vesuvius peeking over the top of the ugly brown building (if we stood at the window), from the bed it’s basically ugly building, as can be seen in my pics. We believe that the rooms are drastically overpriced and the website deceiving/misleading. The…",20
Excellent Hotel,40,Date of stay: August 2020,"Gret stay in Naples. Hotel received you in full security regarding Covid. All part of the hotel are well desing, and the small pool on the top a great place to enjoy the view on Vesuvio. The room are large, and very confortable",254
Excellent customer service,50,Date of stay: August 2020,"We have just checked out from a lovely stay at Romeo hotel. We booked this last minute & were so pleased with the service. Room was spotless & the housekeeper was excellent, she even ironed some clothes for us. The gym is just incredible with Technogym equip throughout, very high spec & we got great use out if it during our stay. Spa also is one of the nicest I've ever experienced and was a welcome recovery after the gym. Although the Michelin star restaurant was closed, the food in the bar/restaurant was excellent & the service just top notch. Very friendly & attentive staff & were so accommodating. Most importantly tye C-19 procedures were top notch & social distancing guidelines adhered to throughout. Perfect location for ferry day trips to Sorrento & Capri or a short stroll…",26
A nice modern boutique hotel in central Naples,40,Date of stay: July 2020,"Spent two days at Romeo prior to a yacht cruise, and thoroughly enjoyed it. Romeo is a modern boutique SLH hotel just by the harbour that in July 2020 was opening up after C19 lockdown. Mandatory C19 testing required in the hotel’s own testing bus prior to Check-in, but I guess that is something you have to accept in these times. Great service overall and a nice top floor pool by the bar. Only downside - one of the very few ultra modern buildings in central Naples where the architecture is otherwise dominated by buildings 100-300 yrs old.",18
Enjoyable time,50,Date of stay: July 2020,"Good location, valet parking. Right in front of the ship terminal. Nice views from the restaurant on the top floor during breakfast , or an evening drink. Lots of artifacts in common areas, which created nice atmosphere. Rooms are nice, well equipped, service is great, food is very good. Short walk to Piazza di Plebiscito and Lungomare. Not too far to the historical center too. Quite pricey.",2894
"Excellent, highly recommended",40,Date of stay: February 2020,"Gorgeous hotel frontage and reception. We had a lovely stay, using the upto date spa (sauna, steam, relaxation room etc) for upto 2hrs per day (quite expensive for treatments £130 and nothing extra special). We ate in the 9th floor restaurant for breakfast, gorgeous views, great selection and so tasty. 10th floor restaurant for dinner was an excellent experience, amazing views with friendly staff and gorgeous tasty food (highly recommended 65 degrees egg, wow)",1
Napoli in February,50,Date of stay: February 2020,"Fantastic service. Exceptional hotel. Will return. Although Napoli as a city can be described a gritty and somewhat dirty, this hotel was impeccable. We also left our passports in the safe in our hotel room and when we noticed and called the hotel, the staff was very accommodating and made arrangements for us to get our passport to Rome before our departure.",1
Romeo hotel is a magical experience,50,Date of stay: February 2020,"I loved being in the magic of this hotel. The art pieces dotted here and there are fascinating, and every-time you walk past one or other you want to look again. The staff are extremely warm and welcoming, always helpful, so there’s nothing that you lack. The manageress, Gaia, is utterly charming and intelligent, and knows how to make you feel extremely relaxed. Home from home. The rooms are unbelievably comfortable and well thought out. Naples is an extraordinary, vibrant, contradictory and life-enhancing city, but first you have to pull yourself away from this most fabulous hotel. I haven’t even started on the wonderful food yet. The lights, the glass, vases made of lava, the ubiquitous cacti, and the sheer comfort of the public places. It’s a dream hotel, rate in its…",130
Excellent Service,40,Date of stay: January 2020,The service was wonderful. The staff were very friendly and helpful in any way they could help. The rooms and hotel were clean. The welcome chocolates were delicious! Thank you for the enjoyable stay in Naples!,36
"The best of Napoli, below and over it",50,Date of stay: December 2019,"Extremely helpful staff. Nice view from the port (above sixth floor), good restaurants, beautiful scenic pool, comfort room, and the best spa in town (it’s in the underground, and have four small pools, three types of sauna).",1
Our new favorite boutique hotel!,50,Date of stay: December 2019,"Romeo is a dream. Great design throughout, wonderful common spaces, great restaurants, the most awesome spa, and a superb location. We loved watching the busy harbor of Naples from the rooftop restaurant or our room. The staff was gracious, helpful, knowledgeable, friendly. we would come to Naples just to stay here again--A very special place.",2
Wonderful visit,50,Date of stay: November 2019,"We have visited Naples many times on cruise ships, but this was our first hotel stay. The hotel is in an excellent location. Our room was spacious and we had a fantastic view of the port and Mount Vesuvius. Breakfast was delicious in an elegant venue. Staff members were all very friendly and helpful. We will definitely stay here again.",62
THE ART!!! Great Views Great Location,50,Date of stay: November 2019,"You must ask for an art tour when you stay at the Romeo. The history alone is reason to stay there, but truly a great location in town and of course access to the port, it is right there. Ask for a high floor. But when you are not enjoying the view, relax throughout the hotel and enjoy the art, all with a story.",4
Wonderfull view,40,Date of stay: October 2019,"So, this Hotel 's in a great location particuliery convenient for the port or city center. I found Rooms were very nice and luxurious. Staff were really help and couldn't do enough for you. Front desk staff were brilliant and in particular Bruno. maybe Food is a too expensive in the hotel, The products used are good. Enjoy your stay if you choose it.",12
AWESOME hotel,50,Date of stay: September 2019,"The best modern hotel in Naples. It offers fabulous bar, Michelin star restaurant, TOP breakfast, rooftop pool, gym & extremely nice spa. Absolutely perfect place 2 stay. This hotel is close to everything you would want to visit. All the staff was very friendly & helpful. We will back :)",48
Romeo Review,40,Date of stay: November 2019,"The hotel is beautiful. Lots of lovely art work. The hotel is modern and clean. I would have more ""How To"" use signs. For the elevator, room lights and shower. The food was good but buffet was cold. I did enjoy the art nation.",1
Boutique oasis of luxury,40,Date of stay: October 2019,"Recently spent 3 nights in a 2 bedroom suite using as a base for a Vesuvius. Pompeii, and Amalfi trip. Its truly welcoming and exceptional for that. It's adult/business orientated in the main, but nevertheless excellent service and friendly staff. Modern, clean, dramatic and brilliantly comfortable spacious rooms. Just watch the overall location; it's a little outside the main tourist strip, away a bit from the the end of the nicer marina area, closer to the cruise liners right on the docks. You are unlikely to be taking an evening stroll into the city from here. That said, safely ensconced each night tucking into truly exceptional food in both the 9th floor restaurant (great views) or delicious room service you can't really beat it.",222
modern surroundings in an ancient city,50,Date of stay: October 2019,we stayed two nights at the hotel beautiful location near the marina. the top floor restaurant was excellent and the service great. I will definitely visit again loved the modern furniture even though I am conservative,77
Outstanding Hotel,50,Date of stay: October 2019,"Outstanding hotel, staff goes out of way to assist and help. Highly recommend the Romeo, with in walking distance to many attractions, shopping and dinning. Breakfast included with room, good selection and excellent service from staff.",4
Excellent Naples Experience,50,Date of stay: October 2019,"We really enjoyed staying at the Romeo Hotel, had a great room overlooking the working port at cruise ship end and Mt Vesuvius and Capri. Room was quiet and very comfortable, great shower. The staff are mostly amazing and the breakfast is excellent. On our last day I was a bit disappointed with the room servicing, it seemed like because we were checking out the next day that it was done half heartedly. However when I spoke to the concierge he was very helpful in addressing this. It certainly did not spoil our stay and I would definitely book there again.",18
Stylish hotel,50,Date of stay: August 2019,"We stayed in Hotel Romeo for 4 days before we headed to Positano. As a family of four, the hotel has a few types of room can cater our needs. We stayed in a Suite with castle view which is very spacious and tastefully decorated. The beds are comfortable and I like the amenities from BV. The hotel is located on a main road, close to the cruise pier and just a short walk to some of the landmarks in Naples, and that made me feel safer and easier to find my way back even after sunset. We had dinner at Il Comandante, a Michelin star awarded restaurant and could not be more pleased with their food and services. It's not to be missed if you're in Naples. We also had an enjoyable dinner in the other restaurant of the hotel which also serve breakfast. Both restaurants have a…",12
Perfectly located for a stopover,40,Date of stay: October 2019,"Stayed 1 night at the beginning of our trip to Capri. Modern upscale design hotel with a lot of Japanese touches. Very friendly and helpful staff. Despite the traffic in front of the hotel, very, very quiet. Rather a business hotel than a boutique hotel for an extended stay. It is perfectly located as a stopover for taking the ferries to the islands like Capri; just a 5 minutes walk. As such, looking at and over Naples industrious port and cruise ships, but 15 minutes walk away from the waterfront to Palazzo Reale and the Piazza del Plebiscito or the outskirts of the Spanish Quarter. Metro closely to explore other parts of the City.",221
Meh.,20,Date of stay: October 2019,"Not a 5 start hotel for sure. The view from our junior suit was obstructed with some trucks and port stuff ( Never be fooled with their website's pictures) . The mattress was not comfortable at all ,and way below the average breakfast although the view there is nice. Definitely do not worth the 500++ Euro we payed :( I suggest that you ask for a picture of the room your looking for to be sent from the hotel before you get surprised.",55
Below level snack food,20,Date of stay: October 2019,The view from the restaurant was nice but the snack food was not. One would think that a tomato buffala would be excellent in Naples...well not here. Tomatoes were tasteless and the bufala mozarella like rubber. Maybe they should check their suppliers chain...I believe that in such a hotel a simple salad should be excellent.,19
"Nothing Special, but Perfect for Stopovers in Naples",40,Date of stay: October 2019,"Overall: Stayed 1 night, used it as a connection between our stay on Capri and a flight out of Rome the next day. Super modern, lots of dark colors. Takeaways: 1. Location is perfect for getting to Ferry's/boats (2 min walk) and 5 min taxi to train station. 2. I would put this into more of a business style hotel, I wouldn't want to stay there long primarily because its Naples (sub-par city) and also because of the design/feel is uber modern and not my taste. 3. Don't take my tastes and assume its a bad hotel, its very clean, nice staff and is an upscale hotel, I just wouldn't view it as a place to stay for a ""vacation""",35
BEST HOTEL,50,Date of stay: October 2019,This hotel was beautiful! Was extremely clean and the staff was very nice! Best hotel so far in Europe that I have stayed in. This hotel is right across from the port so its easy access to travel to other cities. Right by coffee shops and many restaurants. Takes a few minutes to walk into the actually city/ shopping district. Would def stay here again!!,2
A superb 5* hotel near Napoli harbor.,50,Date of stay: October 2019,For our last night in our Campania Area vacation we picked Romeo hotel. It’s a 5* High tech hotel. The room is not big but with very modern design very well equipped. Breakfast and the small pool on the roof were good and pleasant. The hotel is warmly recommended.,61
Beautiful hotel by the docks.,50,Date of stay: October 2019,"This is a beautiful hotel with extremely comfortable beds, modern technology, delicious food and most important excellent customer service. The wait staff in the restaurant were wonderful! Even though both our rooms looked out over the docks and a busy street, we did not hear any noise. Location was perfect for us as we did a day trip to Capri and the marina for the Hydrofoils were across the street. The hotel is close to shopping and sightseeing. Just perfect!!",13
So comfortable with amazing service,50,Date of stay: October 2019,We have stayed at 3 different locations in Rome. This amazing gem is by far the best you will find. The bed is so comfortable. The WiFi works great! The staff was so kind and helpful. I can not say enough good things about this tiny gem.,1
Great!,50,Date of stay: October 2019,"Very enjoyable stay. Good location close to ferries, old town and Borgo area, very well equipped room, elegant design, friendly staff. Did not try restaurant or breakfast facilities, so can't comment on that.",85
Such an incredible experience,50,Date of stay: October 2019,"Super modern hotel in a very interesting point of Naples few steps from downtown and just in front of the harbour where you can take ferry to Capri. I didn't miss a walk in the city, really vibrant and colourful. The hotel Is Just perfect,from the doormen welcome to front desk, rooms spacious and confortable. I tried just the 9th floor restaurant and the breakfast service is smooth and impeccable full of neapolitan delicacies; i would like to mention waiter Francesco for the service, kind and professional. See you and thanks!",1
Not quite a 5 star view,40,Date of stay: October 2019,"We booked the harbor deluxe view room and while the room was stunning, the view not so much. We were basically looking at a ship yard. The bed was too firm for my taste. The breakfast is great and served on the 9th floor which has a really nice view, but it is hard to enjoy because the sun is too bright. The need solar shades on the windows. Service was outstanding.",219
Fabulous Experience!,50,Date of stay: September 2019,"My husband and I enjoyed two nights at the Romeo Hotel and were very pleased with our room, our view, our restaurant experience and with the service of every staff person with whom we interacted. We'll definitely be back.",17
Almost,40,Date of stay: October 2019,"We got off to a bad start as someone made an error and had the wrong time for our arrival on the ferry, so we were not met. We had two very large suitcases so even though the hotel was close we needed to take a taxi. The manager apologized, credited us for the taxi ride and sent a bottle of Prosecco and a lovely chocolate cake with pistachios. As we had just left a hotel with a very difficult bath to get into I was delighted by the modern stall shower. Everything was clean and newish and worked well. The decor has to be to one’s liking - it is quite modern. The room itself (and we had been given an upgrade) was small and the one chair was so low that it was tough to get out of. The breakfast buffet was nice, but the location of the room was a major miscalculation. It is…",153
3 stars?,20,Date of stay: October 2019,location is totally out. room is okay but the sound proofing really horrible. be very cautious when using their in room slippers as i almost fell a few time and the laminated floor wasn't even wet. poor.,9
Sublime Hotel!,50,Date of stay: October 2019,"Excellent in every way, every detail has been thought of from the art pieces to the rooms comfort levels, the service superb and as is the breakfast, pool, spa and staff! Great location if departing by ferry to the islands too.",105
Beautiful lunch spot,50,Date of stay: October 2019,We popped in here for lunch while waiting for the ferry. The view was stunning and the service flawless. Staff created something for my vegetarian diet which was delicious. Also they helped print off our ferry tickets. I had a massage and used the spa. The spa was immaculate and lots of different water and heat experiences with animated TV screens showing relaxing views. Great staff and great facilities.,38
Modern Hotel in perfect location,40,Date of stay: September 2019,"The Romeo Hotel is situated close to the old city and the ferry harbour of Naples. It is the perfect location to be staying when you are in Naples. It's only a 10 minute walk from the hotel to the ferry terminals where you can get a boat bringing you to Capri, Procida or the Amalfi coast. It's also close to the old city where you find the best Pizza places and other great restaurants. However, especially US travellers must get used to the fact, that the hotel rooms are rather small. The roof terrace offers a spectacular view over the harbour and the Vesuvio. The staff at the hotel is very friendly, helpfil and very professional. Everyone from the receptionists, the bell captain, waiters and the chamber mates are just great!",17
Our second stay,50,Date of stay: September 2019,"This was our second stay in this fabulous hotel in the hearth of Naples port. This time we have opted for the suite with zen garden and private jacuzzi which is great choice if you want to spend some time also in private. The rooftop pool overlooking port with view of Vesuvio is the main selling point and it is just a place to be, we have spent really lot of time there so i would like to thanks to all the staff for the great service we have recieved there, especially to Nicola! Also I recommend to visit the ""Comandante"" michelin star restaurant on the TOP with great manager. Grazie a tutti e ci vediamo a prossima volta!",195
Family Reunion,50,Date of stay: October 2019,"Superb Hotel ! Nothing too much trouble for the staff who spoke English better than my Italian! They were fantastic with our 10 month old grandson who enjoyed the breakfast and the attention he received. The restaurant on the 10th floor was exceptional - the food was unbelievable, each course brought something different, it was truly outstanding. The wait staff were amazing and introduced each course succinctly and were very friendly and attentive to all our needs. Rooms were cleaned to a high standard and we looked forward to the little treats that were left behind. Would definitely recommend this Hotel and would love to come here again.",2
3 day stay in Naples,50,Date of stay: September 2019,"Great hotel, very knowledge staff (ask them for places to eat and drink), excellent facilities. We very much enjoyed spending time out on the pool / hot tub deck. Views for breakfast of Mt Vesuvius are exquisite and gives you a great feeling for the port. Highly recommend.",1
No 5-star treatment,20,Date of stay: September 2019,"Stayed at the hotel for the last night of our honeymoon. Thought I would splurge with a wellness suite, massage and reservations at the restaurant to make it special and was incredibly excited for our first five-star experience. Unfortunately, after using the shower, the entire bathroom flooded. I was panicking on my hands and knees with towels, robes, anything I could find to help soak up the mess while my husband ran down to reception for help. Cleaning staff was sent and chalked it up to being a drain that hadn't been cleaned properly ahead of our stay, but beyond that, the problem wasn't addressed. No apology for the issue - nothing. Maybe it is my own misconception of what five-star service is, but if I am paying over $700 to spend about 15 hours at a hotel and a…",2
Perfect hotel for area,50,Date of stay: September 2019,All the amenities of home plus some. Beds/linens were soft and so comfy. Service was fast and friendly. Only complaint was there is a learning curve of controlling lights and using shower. You can just take some time to play with these or ask for help. Breakfast was super yummy and service was great.,19
Excellent staff,40,Date of stay: September 2019,The hotel is older but the inside is refreshed to a very good scale. It’s central to good shopping and walking. The staff was welcoming and very helpful. The room was clean and well stocked. I recommend it,12
Fantastic hotel,50,Date of stay: September 2019,"This is an amazing hotel.We stayed with friends for 5 nights. Staff are helpful and very friendly. The hotel is very clean . I would recommend this hotel to anyone, it’s in a great location and in walking distance to restaurants . Nothing was too much trouble for any member of staff. Breakfast was amazing.",8
Fantastic Hotel,50,Date of stay: September 2019,"Lovely hotel with very comfortable rooms, views of the port, excellent service, lovely amenities including famous local chocolates, great toiletries, great rooftop bar and pool and a lovely restaurant. Service and all staff were excellent. Would definitely go back!",28
Naples,40,Date of stay: September 2019,The hotel is very centrally placed for the Harbour and all the shuttle boats to the islands and Amalfi Coast It is very modern with an art form atmosphere and excellent rooms The Beluga Bistro on 9th floor serves excellent food food with a good view of Naples Bay and Vesuvius but at a price! The staff there including Ciro and Francesco are very attentive and helpful The hotel is good - though it would have a more lively atmosphere if the ground floor lobby bar and facilities were open and staffed regularly.,20
Five star modern hotel in front of the port,50,Date of stay: September 2019,We spent 2 evenings in Naples after a wonderful week on Capri. The hotel was very modern and exceeded my high expectations. Simone went above and beyond to make sure we have a 5+ star experience. The spa was a nice bonus as well as the pool. Unfortunately we were not able to enjoy the pool due to close proximity of smokers. The buffet breakfast was lovely with excellent service. I would recommend this property without any hesitation and look forward to returning again in the future.,10
Great for traveling in/out of Naples!,40,Date of stay: September 2019,"We stayed at Romeo Hotel for the last night of our honeymoon before flying out of Naples to go back home the next day. Overall, upon arrival, the staff were extremely friendly and helpful. Included in our room rate was access to the SPA for both of us which was extremely relaxing. We actually had all of the facilities to ourselves which were very nice. We also added on a couples massage which I wouldn't recommend. Definitely use the SPA area, but the couples massage was mediocre at best considering the $260 euros they charged. The pool on the rooftop was also beautiful, but the surrounding area was less than ideal. The view of the rooftop is actually mostly of giant cruise ships and a parking lot. Overall, if you are looking for somewhere to stay that is conveniently located…",1
allergic,50,Date of stay: September 2019,"We loved the hotel but I suffered from severe allergies (dust and dust mites). This isn't about cleanliness (the room was clean) it is about allergy covers on duvet, pillows, fsoft furnishings, cushions etc.",1
Wedding Anniversary,50,Date of stay: September 2019,We had a great experience. awesome service. beautiful property. fantastics spa. Great location. We checked to see if they had more hotels in other cities. Too bad they don't. We'll just have to go back to Naples.,1
Great Downtown Napoli Hotel,50,Date of stay: September 2019,"We loved the location even though construction was nearby. The view of Vesuvius was terrific and so close to shopping, restaurants, waterfront walks, etc. The modern design, the room, restaurant and service was exceptional. One of the best hotels we've stayed in.",6
my stay,50,Date of stay: September 2019,"The service was excellent, and the hotel was very clean. We didn't have time to eat at the restaurant, but the food looked amazing! If I am ever back in Napoli, I would prefer to stay at the Romeo hotel.",1
Amazing Hotel,50,Date of stay: June 2019,This hotel was amazing! From its room to its breakfast its pool although small but was very practical with its heated water and jacuzzi and the view was breath taking. The coffee house was excellent with its choice of food and the service was Impeccable. This was the only thing we found enjoyable in Naples and not forgetting the location just a stone throw to the ferry terminal. what more can you ask for . However the Michelin rated restaurant was a disappointment I think the food at the coffee house was much better.,7
Special thanks,50,Date of stay: August 2019,"Our stay was really special and very pleasant . My wife and myself would like to take this opportunity to thank our very special staff, at the beluga restaurant, that took a really great care of us and was very professional “Giovanni” . It is just a great job Giovanni , please keep it on and wish u all the best. Regards",4
"Friendly staff, nice room, poor food",20,Date of stay: August 2019,"Nice greeting on arrival. Room is comfortable. But quite shocked to order a ham and cheese sandwich for €23 - in a 5 star hotel, and this is all it is. (Attached) Bite is mine, one of the most bland sandwiches I’ve ever had. No different from a €2 sandwich from a service station. Earlier today my wife had a salad & felt very ill all day afterwards. My club sandwich was also poor. Cannot recommend highly, sadly.",4
Romeo My Love,50,Date of stay: August 2019,"Top Top Top! Best welcome ever, Top Penthouse Suite ever, Top Breakfast with amazing views and a incredible panoramic Pool. Still dreaming the warm Sfogliatella brough to my table. I loved my stay, loved Naples, cannot wait to be back.",8
Mediocre experience overall,20,Date of stay: August 2019,"Booked one night before heading back home, after 10 wonderful days spent on the Amalfi coast. Reserved a Deluxe Harbour View on the Hotel's website. Lack of attention and generosity during our stay: no availability at the Spa upon arrival (for any treatment actually), no alternative options were given for the next day. Not a 5 star experience. Other small details created some frustration, and made us feel uncared for, neglected. We did have a great dinner at the Bistrot, thank you to the team on the 9th floor. Will not come back nor recommend the Romeo.",20
Romantic stay in Romeo Hotel,50,Date of stay: August 2019,"This was a very lovely stay in a hotel with only friendly people…valet parking perfect, gastronomic dinner in Il Comandante ! We will be back soon, to enjoy again all the experiences we had during our short stay",222
Aug 1-4 Stay,30,Date of stay: August 2019,"Decent hotel, however the bed mattress was very poor. We could feel the springs and the boxspring through the mattress. For the price charged and star rating, would have expected better. Hallways were also very noisy.",2
Upscale style in great location,40,Date of stay: April 2019,"The newest and probably the fanciest hotel in Naples. Very upscale, modern hotel on a main street with beautify views of the harbor, bay, and Mt. Vesuvius. Our room was very large with a view of the bay and the cruise ships coming and going. The bathroom was especially fancy with an all-glass shower with a “rain” showerhead and a vanity in a separate area. The TV had several English channels. It is about a 10 minute walk to the Piazza de Plebicito, the Royal Palace, the Teatro San Carlo, and the Castle Nuevo. In fact, just about everything else in Naples is with walking distance as well. Breakfast buffet was included with our stay. Food was plentiful and tasty, with many different types of food (both European and American). The Italians don’t quite understand…",27
