review_title,review_rating,review_date,review_body,user_contributions,review_short_date,review_year,review_month,review_title_length,review_length,overall_sentiment,tokens
style over substance,Poor,2019-07-01,not up to usual mr and mrs smith standard mediocre rooms less than adequate understandably rooms not as website suggests and comments about hotel accurate service at front desk excellent on arrival and during our stay 9th floor restaurant maitre d rude and although a lot of staff very poor service waited 20 mins to even be offered a drinks menu and when i asked to order i was told all waiters very busy on the floor room mediocre room service poor turn down service is clearly limited to literally turning down bed covers bathroom left untouched and unserviced even from the day with toothpaste marks still remaining and towels adrift this is by no means a 5 star hotel far from it very very disappointing ,117,July 2019,2019,July,3,126,negative,"['usual', 'mrs', 'smith', 'standard', 'mediocre', 'rooms', 'less', 'adequate', 'understandably', 'rooms', 'website', 'suggests', 'comments', 'hotel', 'accurate', 'service', 'front', 'desk', 'excellent', 'arrival', 'stay', '9th', 'floor', 'restaurant', 'maitre', 'rude', 'although', 'lot', 'staff', 'poor', 'service', 'waited', 'mins', 'even', 'offered', 'drinks', 'menu', 'asked', 'order', 'told', 'waiters', 'busy', 'floor', 'room', 'mediocre', 'room', 'service', 'poor', 'turn', 'service', 'clearly', 'limited', 'literally', 'turning', 'bed', 'covers', 'bathroom', 'left', 'untouched', 'unserviced', 'even', 'day', 'toothpaste', 'marks', 'still', 'remaining', 'towels', 'adrift', 'means', 'star', 'hotel', 'far', 'disappointing']"
modern hotel in tough city,Very Good,2019-07-01,best hotel in the city not a city i would want to visit again and there are very few decent hotels here so if want at least 4 star plus then this is a good option staff are generally very helpful ok restaurant and small outdoor pool area which was very popular during our stay albeit absolutely no service at the pool unless you go looking for it beautiful day spa in the basement of the hotel interesting lobby area with table games unfortunately we didn t notice until the last day the hotel amenities were not pointed out to us on arrival staff were very helpful in providing information to get around the city ,10,July 2019,2019,July,5,115,positive,"['best', 'hotel', 'city', 'city', 'would', 'want', 'visit', 'decent', 'hotels', 'want', 'least', 'star', 'plus', 'good', 'option', 'staff', 'generally', 'helpful', 'restaurant', 'small', 'outdoor', 'pool', 'area', 'popular', 'stay', 'albeit', 'absolutely', 'service', 'pool', 'unless', 'looking', 'beautiful', 'day', 'spa', 'basement', 'hotel', 'interesting', 'lobby', 'area', 'table', 'games', 'unfortunately', 'notice', 'last', 'day', 'hotel', 'amenities', 'pointed', 'arrival', 'staff', 'helpful', 'providing', 'information', 'get', 'around', 'city']"
insanely rude service worst hotel experience of my life ,Terrible,2019-07-01,booked my stay through amex to get the fhr benefits but upon arrival phiippo and slvia the two people working the front desk told me that my reservation was booked through expedia a total lie i presented them with proof written amex confirmation that the reservation was in fact booked through amex and they didn t care said that all that mattered was their online system which of course only they can see and control after a lot of insistence they finally agreed to include breakfast in the rate making it seem like a huge gesture on their part but said the upgrade wasn t possible due to no availability when in fact the hotel showed plenty of availability online to the next room category another lie when i confronted them and showed them the availability they got ,1,July 2019,2019,July,9,138,positive,"['booked', 'stay', 'amex', 'get', 'fhr', 'benefits', 'upon', 'arrival', 'phiippo', 'slvia', 'two', 'people', 'working', 'front', 'desk', 'told', 'reservation', 'booked', 'expedia', 'total', 'lie', 'presented', 'proof', 'written', 'amex', 'confirmation', 'reservation', 'fact', 'booked', 'amex', 'care', 'said', 'mattered', 'online', 'system', 'course', 'see', 'control', 'lot', 'insistence', 'finally', 'agreed', 'include', 'breakfast', 'rate', 'making', 'seem', 'like', 'huge', 'gesture', 'part', 'said', 'upgrade', 'possible', 'due', 'availability', 'fact', 'hotel', 'showed', 'plenty', 'availability', 'online', 'next', 'room', 'category', 'another', 'lie', 'confronted', 'showed', 'availability', 'got']"
not a five star hotel,Very Good,2019-07-01,this is not a five star hotel it is a four star hotel this is because the room especially the bed is quite small not possible to accommodate an adult and the spa snd rooftop pool are quite small overall facilities do not suffice to accommodate a hotel of this size there were less than ten chairs aroubd the pool and the pool can accommodate at most ten people but thete are at least 100 rooms so at least 200 guests in the hotel on the plus sude the room and the spa look very modern staff is friendly ,32,July 2019,2019,July,5,99,positive,"['five', 'star', 'hotel', 'four', 'star', 'hotel', 'room', 'especially', 'bed', 'quite', 'small', 'possible', 'accommodate', 'adult', 'spa', 'snd', 'rooftop', 'pool', 'quite', 'small', 'overall', 'facilities', 'suffice', 'accommodate', 'hotel', 'size', 'less', 'ten', 'chairs', 'aroubd', 'pool', 'pool', 'accommodate', 'ten', 'people', 'thete', 'least', '100', 'rooms', 'least', '200', 'guests', 'hotel', 'plus', 'sude', 'room', 'spa', 'look', 'modern', 'staff', 'friendly']"
modern hotel busy area,Very Good,2019-05-01,hotel was very model and well appointed all the staff was very friendly and nice the rooms were very nice well appointed and spacious this was a very busy area of naples with a lot of road repairs going on which was not nice hotel service needs a lot of improvement it took 5 calls and over an hour to get my complimentary water breakfast restaurant was nice with nice views and very good service but there was hardly any vegetarian food ,80,May 2019,2019,May,4,82,positive,"['hotel', 'model', 'well', 'appointed', 'staff', 'friendly', 'nice', 'rooms', 'nice', 'well', 'appointed', 'spacious', 'busy', 'area', 'naples', 'lot', 'road', 'repairs', 'going', 'nice', 'hotel', 'service', 'needs', 'lot', 'improvement', 'took', 'calls', 'hour', 'get', 'complimentary', 'water', 'breakfast', 'restaurant', 'nice', 'nice', 'views', 'good', 'service', 'hardly', 'vegetarian', 'food']"
modern italian touch ,Excellent,2019-06-01,we have choiced naples for a weekend stop before reaching sicily having already been in that area last year in sorrento and capri wanted to visit better the city itself romeo hotel is not nicely located close to harbour but not far from downtown walking in the surrondings of the hotel is not a good choice but the hotel itself is perfect and in less than 15 minutes you are in the city centre hotel is modern with high tech design elements it offers multiple bars rooftop restaurant and pool and a gym and spa very expensive but extremely nice good buffet breakfast with lots of delicious and some extra plates you can order free of charge very comfortable king size bed modern walk in shower very elegant details and toiletries wood glass and leather everywhere ,2,June 2019,2019,June,3,136,positive,"['choiced', 'naples', 'weekend', 'stop', 'reaching', 'sicily', 'already', 'area', 'last', 'year', 'sorrento', 'capri', 'wanted', 'visit', 'better', 'city', 'romeo', 'hotel', 'nicely', 'located', 'close', 'harbour', 'far', 'downtown', 'walking', 'surrondings', 'hotel', 'good', 'choice', 'hotel', 'perfect', 'less', 'minutes', 'city', 'centre', 'hotel', 'modern', 'high', 'tech', 'design', 'elements', 'offers', 'multiple', 'bars', 'rooftop', 'restaurant', 'pool', 'gym', 'spa', 'expensive', 'extremely', 'nice', 'good', 'buffet', 'breakfast', 'lots', 'delicious', 'extra', 'plates', 'order', 'free', 'charge', 'comfortable', 'king', 'size', 'bed', 'modern', 'walk', 'shower', 'elegant', 'details', 'toiletries', 'wood', 'glass', 'leather', 'everywhere']"
last stop on our way up the coast before flying home,Very Good,2019-06-01,the romeo hotel is a very nice four star business type hotel although was perfectly fine for our last day on our trip up the coast although we stayed two nights to take in some of naples in the end weregretted not just doing one night before our flight out not that the hotel itself had any issues but naples is a bit industrious crowded quite dirty and not much to see or do although we did find a cute restaurant within a five minute walk that had fantastic local seafood antonio s the room your hotel had updated very asian designer feel the staff was accommodating and friendly the free breakfast buffet was a nice touch although mostly sugary carb type foods out when i asked for the smoke salmon that was on the all a cart menu they brought us a nice plate and had it ,36,June 2019,2019,June,11,148,positive,"['romeo', 'hotel', 'nice', 'four', 'star', 'business', 'type', 'hotel', 'although', 'perfectly', 'fine', 'last', 'day', 'trip', 'coast', 'although', 'stayed', 'two', 'nights', 'take', 'naples', 'end', 'weregretted', 'one', 'night', 'flight', 'hotel', 'issues', 'naples', 'bit', 'industrious', 'crowded', 'quite', 'dirty', 'much', 'see', 'although', 'find', 'cute', 'restaurant', 'within', 'five', 'minute', 'walk', 'fantastic', 'local', 'seafood', 'antonio', 'room', 'hotel', 'updated', 'asian', 'designer', 'feel', 'staff', 'accommodating', 'friendly', 'free', 'breakfast', 'buffet', 'nice', 'touch', 'although', 'mostly', 'sugary', 'carb', 'type', 'foods', 'asked', 'smoke', 'salmon', 'cart', 'menu', 'brought', 'nice', 'plate']"
hotel itself is 5 star staff is 3 stars,Very Good,2019-06-01,hotel itself is amazing michelin restaurant on the top floor 3000 sq ft gym with free weights machine and cardio location is in the port so great for cruising to capri or taking a car to pompeii rooms are very modern and well built clearly the owner or owning group of this hotel knows a high quality product line where this hotel goes downhill is it s staff which is actually disappointing as owners work so hard to build something just to have the face of the company staff compromise the quality staff was often rude pompous and unresponsive we emailed several times once about the spa and the availability in which case we did not receive a response and again about the 7000 credit card holds during our stay there which they disputed even after i showed them the ,2,June 2019,2019,June,9,140,positive,"['hotel', 'amazing', 'michelin', 'restaurant', 'top', 'floor', '3000', 'gym', 'free', 'weights', 'machine', 'cardio', 'location', 'port', 'great', 'cruising', 'capri', 'taking', 'car', 'pompeii', 'rooms', 'modern', 'well', 'built', 'clearly', 'owner', 'owning', 'group', 'hotel', 'knows', 'high', 'quality', 'product', 'line', 'hotel', 'goes', 'downhill', 'staff', 'actually', 'disappointing', 'owners', 'work', 'hard', 'build', 'something', 'face', 'company', 'staff', 'compromise', 'quality', 'staff', 'often', 'rude', 'pompous', 'unresponsive', 'emailed', 'several', 'times', 'spa', 'availability', 'case', 'receive', 'response', '7000', 'credit', 'card', 'holds', 'stay', 'disputed', 'even', 'showed']"
great spot in naples,Very Good,2019-05-01,we booked a corner suite which had a great view of the harbour and bay of naples with all the ships coming and going the room was large well appointed and very comfortable the hotel is very modern with clean lines breakfast in the morning was in a lovely room with another great view of the harbour walking distance to the ferry terminal and the castle staff was very helpful and friendly the bartender in the lobby bar was great nicola was lovely very interesting to speak to and made a great negroni the wine cellar is gorgeous ,132,May 2019,2019,May,4,98,positive,"['booked', 'corner', 'suite', 'great', 'view', 'harbour', 'bay', 'naples', 'ships', 'coming', 'going', 'room', 'large', 'well', 'appointed', 'comfortable', 'hotel', 'modern', 'clean', 'lines', 'breakfast', 'morning', 'lovely', 'room', 'another', 'great', 'view', 'harbour', 'walking', 'distance', 'ferry', 'terminal', 'castle', 'staff', 'helpful', 'friendly', 'bartender', 'lobby', 'bar', 'great', 'nicola', 'lovely', 'interesting', 'speak', 'made', 'great', 'negroni', 'wine', 'cellar', 'gorgeous']"
amazing stay in napoli,Excellent,2019-06-01,from the second i arrived i could tell the quality of the hotel a friendly greeting and smooth check in the kind lady on reception showed us to our room and how everything worked the room itself was amazing and had all the small touches an excellent hotel should have water and charging port right near the bed the most comfortable pillows robes slippers which i might add is not a luxury found in many italian hotels and all the other amenities you could imagine this place is a haven in a busy city and definitely whilst travelling through italy it s right beside the port and had a metro link a few minutes away the pool was small but cute and had a view of mount vesuvius wouldn t think twice about staying here again loved every second and didn t want to leave ,23,June 2019,2019,June,4,145,positive,"['second', 'arrived', 'could', 'tell', 'quality', 'hotel', 'friendly', 'greeting', 'smooth', 'check', 'kind', 'lady', 'reception', 'showed', 'room', 'everything', 'worked', 'room', 'amazing', 'small', 'touches', 'excellent', 'hotel', 'water', 'charging', 'port', 'right', 'near', 'bed', 'comfortable', 'pillows', 'robes', 'slippers', 'might', 'add', 'luxury', 'found', 'many', 'italian', 'hotels', 'amenities', 'could', 'imagine', 'place', 'busy', 'city', 'definitely', 'whilst', 'travelling', 'italy', 'right', 'beside', 'port', 'metro', 'link', 'minutes', 'away', 'pool', 'small', 'cute', 'view', 'mount', 'vesuvius', 'think', 'twice', 'staying', 'loved', 'every', 'second', 'want', 'leave']"
great place to stay in naples,Excellent,2019-06-01,everything about this hotel is super impressive they obviously put a lot of work into their decor because it s all very modern and cool the restaurant has a great view and the pool was really nice i wish the pool was bigger but given the space constraints it made sense the staff was friendly and helpful when we needed a cab it was there in less than two minutes naples is a wonderful city and the hotel is very centrally located i would definitely stay here again ,1,June 2019,2019,June,6,88,positive,"['everything', 'hotel', 'super', 'impressive', 'obviously', 'put', 'lot', 'work', 'decor', 'modern', 'cool', 'restaurant', 'great', 'view', 'pool', 'really', 'nice', 'wish', 'pool', 'bigger', 'given', 'space', 'constraints', 'made', 'sense', 'staff', 'friendly', 'helpful', 'needed', 'cab', 'less', 'two', 'minutes', 'naples', 'wonderful', 'city', 'hotel', 'centrally', 'located', 'would', 'definitely', 'stay']"
helpful staff who went out of their way,Excellent,2019-05-01,my husband and i stayed here on our honeymoon which was our first three nights being in naples we loved our wellness suite it was absolutely beautiful with a nice sitting area and fireplace the furniture was clean and modern and there was ample closet space for our belongings we also had a beautiful jet tub along with the listed amenities sauna steam room and a private toilet room the drinks food and views were also to be commended the decor had such amazing personality as well please stay at the hotel that doesn t let you down the most important aspect of our stay however was the service you see the second day we arrived saturday i broke my foot this is not happen on the property i ended up awakening in excruciating pain in the night and my husband and ,31,May 2019,2019,May,8,142,positive,"['husband', 'stayed', 'honeymoon', 'first', 'three', 'nights', 'naples', 'loved', 'wellness', 'suite', 'absolutely', 'beautiful', 'nice', 'sitting', 'area', 'fireplace', 'furniture', 'clean', 'modern', 'ample', 'closet', 'space', 'belongings', 'also', 'beautiful', 'jet', 'tub', 'along', 'listed', 'amenities', 'sauna', 'steam', 'room', 'private', 'toilet', 'room', 'drinks', 'food', 'views', 'also', 'commended', 'decor', 'amazing', 'personality', 'well', 'please', 'stay', 'hotel', 'let', 'important', 'aspect', 'stay', 'however', 'service', 'see', 'second', 'day', 'arrived', 'saturday', 'broke', 'foot', 'happen', 'property', 'ended', 'awakening', 'excruciating', 'pain', 'night', 'husband']"
lovely naples hotel ,Excellent,2019-06-01,very good all round experience concierge desk was excellent the spa was very good restaurant facilities excellent disappointed that there was no mention of the extremely ugly warehouse blocking our view of the harbour ,4,June 2019,2019,June,3,34,positive,"['good', 'round', 'experience', 'concierge', 'desk', 'excellent', 'spa', 'good', 'restaurant', 'facilities', 'excellent', 'disappointed', 'mention', 'extremely', 'ugly', 'warehouse', 'blocking', 'view', 'harbour']"
this hotel was excellent ,Excellent,2019-06-01,i was beyond happy with this hotel so beautiful it was extremely relaxing and gorgeous so close to the port literally walked across the street and got on the ferry to the beautiful capri truly a beautiful hotel and staff ,2,June 2019,2019,June,4,40,positive,"['beyond', 'happy', 'hotel', 'beautiful', 'extremely', 'relaxing', 'gorgeous', 'close', 'port', 'literally', 'walked', 'across', 'street', 'got', 'ferry', 'beautiful', 'capri', 'truly', 'beautiful', 'hotel', 'staff']"
nice staff nice restaurant bad everything else,Poor,2019-06-01,very nice staff and quite a good michelin starred restaurant with a wonderful wait staff but that s about it the decor of the hotel is kinda cool if it was still 1989 however the rooms are horribly designed from the non functioning ac and forget trying to read the ridiculous directions the weird motion sensor lights in the bathroom that go off while you re showering the inexplicably complicated light switches the shallow sink that causes water to splash out everywhere to the fact that the shower door opens flush to the floor which means you can t put a bath mat down because the door just sweeps it away and yet even then this place would be passable but for the filthy shower stalls that had mold and soap scum housekeeping is clearly not well managed imo ,5,June 2019,2019,June,7,139,negative,"['nice', 'staff', 'quite', 'good', 'michelin', 'starred', 'restaurant', 'wonderful', 'wait', 'staff', 'decor', 'hotel', 'kinda', 'cool', 'still', '1989', 'however', 'rooms', 'horribly', 'designed', 'non', 'functioning', 'forget', 'trying', 'read', 'ridiculous', 'directions', 'weird', 'motion', 'sensor', 'lights', 'bathroom', 'showering', 'inexplicably', 'complicated', 'light', 'switches', 'shallow', 'sink', 'causes', 'water', 'splash', 'everywhere', 'fact', 'shower', 'door', 'opens', 'flush', 'floor', 'means', 'put', 'bath', 'mat', 'door', 'sweeps', 'away', 'yet', 'even', 'place', 'would', 'passable', 'filthy', 'shower', 'stalls', 'mold', 'soap', 'scum', 'housekeeping', 'clearly', 'well', 'managed', 'imo']"
was treated with disrespect,Terrible,2019-05-01,i was travelling as a single woman and i felt like i was treated with disrespect at this hotel they kept calling me mrs and i had to correct them they thought being single was an insult as a physician my vacation time is more valuable to be spending at such places wishing them significant improvement ,327,May 2019,2019,May,4,56,positive,"['travelling', 'single', 'woman', 'felt', 'like', 'treated', 'disrespect', 'hotel', 'kept', 'calling', 'mrs', 'correct', 'thought', 'single', 'insult', 'physician', 'vacation', 'time', 'valuable', 'spending', 'places', 'wishing', 'significant', 'improvement']"
naples for a 50th birthday,Excellent,2019-05-01,a short trip for my wife s 50th heading out to pompeii and the amalfi coast using naples as a base we decided upon the hotel romeo as being near to everything within naples that we wanted to see and our experience of the hotel its staff and the amazing il comandante restaurant were nothing short of exceptional the restaurant was worth the visit alone the room we had was a deluxe double with a decent sea view not that we were in the hotel too much as there was too much to do elsewhere the room was very clean and tidy with everything we needed we had great service from all the staff we met who were friendly kind and courteous which made our short stay even better and we had a memorable stay for my wife to look back on for this special birthday ,1,May 2019,2019,May,5,146,positive,"['short', 'trip', 'wife', '50th', 'heading', 'pompeii', 'amalfi', 'coast', 'using', 'naples', 'base', 'decided', 'upon', 'hotel', 'romeo', 'near', 'everything', 'within', 'naples', 'wanted', 'see', 'experience', 'hotel', 'staff', 'amazing', 'comandante', 'restaurant', 'nothing', 'short', 'exceptional', 'restaurant', 'worth', 'visit', 'alone', 'room', 'deluxe', 'double', 'decent', 'sea', 'view', 'hotel', 'much', 'much', 'elsewhere', 'room', 'clean', 'tidy', 'everything', 'needed', 'great', 'service', 'staff', 'met', 'friendly', 'kind', 'courteous', 'made', 'short', 'stay', 'even', 'better', 'memorable', 'stay', 'wife', 'look', 'back', 'special', 'birthday']"
definitely the best hotel in naples,Excellent,2019-05-01,my family stayed here for an evening after the amalfi coast it was a beautiful hotel with great decor and a kind staff it was conveniently located to old town and had a lot of walkable attractions we had a two bedroom suite and it was stunning i would definitely stay here again only comment is that they made the photos of the pool look much larger than it is it is a really small space so don t expect to make a day out of that ,226,May 2019,2019,May,6,87,positive,"['family', 'stayed', 'evening', 'amalfi', 'coast', 'beautiful', 'hotel', 'great', 'decor', 'kind', 'staff', 'conveniently', 'located', 'old', 'town', 'lot', 'walkable', 'attractions', 'two', 'bedroom', 'suite', 'stunning', 'would', 'definitely', 'stay', 'comment', 'made', 'photos', 'pool', 'look', 'much', 'larger', 'really', 'small', 'space', 'expect', 'make', 'day']"
beautiful classy and unique hotel,Excellent,2019-05-01,wow what a refreshingly unique hotel i was with group and we were warmly welcomed into the beautiful lobby with some refreshments and pastries then i got to the room and found a lovely hand written note with some decadent chocolate each day they even had a different treat waiting for me they even had turn down service and they placed slippers by the bed the room was very modern but classy too the bed was very comfortable and i slept well the one very small complaint was i struggled a bit with the lights and other switches for instance the drapes were on a motorized system and the controls were by the bed but if that s my only complaint then they re doing well the breakfast was very nice and filling with a beautiful presentation the location was good as you ,36,May 2019,2019,May,5,143,positive,"['wow', 'refreshingly', 'unique', 'hotel', 'group', 'warmly', 'welcomed', 'beautiful', 'lobby', 'refreshments', 'pastries', 'got', 'room', 'found', 'lovely', 'hand', 'written', 'note', 'decadent', 'chocolate', 'day', 'even', 'different', 'treat', 'waiting', 'even', 'turn', 'service', 'placed', 'slippers', 'bed', 'room', 'modern', 'classy', 'bed', 'comfortable', 'slept', 'well', 'one', 'small', 'complaint', 'struggled', 'bit', 'lights', 'switches', 'instance', 'drapes', 'motorized', 'system', 'controls', 'bed', 'complaint', 'well', 'breakfast', 'nice', 'filling', 'beautiful', 'presentation', 'location', 'good']"
odd location but the spa is worth the stay,Very Good,2019-05-01,i booked this hotel based on the fact it has been nominated as a mr mrs smith hotel a brand i trust and rarely lets me down i can see why this has been nominated as such in a chaotic city like naples there aren t many boutique options and i m sure this is probably one of the best of the bunch however at more than 350 a night it is certainly punchy considering other options which are more central if you want to stay one night in naples and consider being close to the port molo beverello an advantage then it s a good option the spa is really excellent however the rooms are modern but not sleek quite dark and the port area isn t great after dark for the money you could stay over in the fancier chiaia district and be in the heart of it all having said that the ,150,May 2019,2019,May,9,155,positive,"['booked', 'hotel', 'based', 'fact', 'nominated', 'mrs', 'smith', 'hotel', 'brand', 'trust', 'rarely', 'lets', 'see', 'nominated', 'chaotic', 'city', 'like', 'naples', 'many', 'boutique', 'options', 'sure', 'probably', 'one', 'best', 'bunch', 'however', '350', 'night', 'certainly', 'punchy', 'considering', 'options', 'central', 'want', 'stay', 'one', 'night', 'naples', 'consider', 'close', 'port', 'molo', 'beverello', 'advantage', 'good', 'option', 'spa', 'really', 'excellent', 'however', 'rooms', 'modern', 'sleek', 'quite', 'dark', 'port', 'area', 'great', 'dark', 'money', 'could', 'stay', 'fancier', 'chiaia', 'district', 'heart', 'said']"
brilliant luxury in chaotic naples,Excellent,2019-05-01,a stunning hotel sleek and modern very comfortable beds and great service we liked the location based on proximity to metro one stop from train station and about a 20 minute taxi to airport it was in a good area for walking to popular bars restaurants and a promenade area that we visited both nights of our stay you can see mount vesuvius from harbour view rooms bar and pool ,95,May 2019,2019,May,5,70,positive,"['stunning', 'hotel', 'sleek', 'modern', 'comfortable', 'beds', 'great', 'service', 'liked', 'location', 'based', 'proximity', 'metro', 'one', 'stop', 'train', 'station', 'minute', 'taxi', 'airport', 'good', 'area', 'walking', 'popular', 'bars', 'restaurants', 'promenade', 'area', 'visited', 'nights', 'stay', 'see', 'mount', 'vesuvius', 'harbour', 'view', 'rooms', 'bar', 'pool']"
modern hotel in ancient naples,Very Good,2019-05-01,i chose the romeo for its nearness to the ferries going to sorrento as i had planned a day excursion but i chose it also for its commanding views of mt vesuvius and capri both of which i could see from my waterfront room the weather was overcast dimming the views but the design and comfort of the room made up for this disappointment the staff in all areas we used were extraordinarily gracious and helpful breakfast was a delight ,77,May 2019,2019,May,5,80,positive,"['chose', 'romeo', 'nearness', 'ferries', 'going', 'sorrento', 'planned', 'day', 'excursion', 'chose', 'also', 'commanding', 'views', 'vesuvius', 'capri', 'could', 'see', 'waterfront', 'room', 'weather', 'overcast', 'dimming', 'views', 'design', 'comfort', 'room', 'made', 'disappointment', 'staff', 'areas', 'used', 'extraordinarily', 'gracious', 'helpful', 'breakfast', 'delight']"
convenient for one night,Excellent,2019-05-01,this hotel was conveniently located for us taking a ferry into town and was an easy walk to the airport shuttle the next morning bonus the shuttle was quiet and everyone that got on at the port got a seat and on board vs the train station guests some of which were told the bus was full the hotel staff were lovely and were able to help us with everything we needed we enjoyed the perks of booking directly through the hotel free access to the spa downstairs and a treat in the room we were on our honeymoon and enjoyed the bottle of prosecco they brought up the only negative was that housekeeping came to knock on our door quite late 10 pm when we were already in bed before our morning flight however for a one night stop over i would return to this hotel ,18,May 2019,2019,May,4,147,positive,"['hotel', 'conveniently', 'located', 'taking', 'ferry', 'town', 'easy', 'walk', 'airport', 'shuttle', 'next', 'morning', 'bonus', 'shuttle', 'quiet', 'everyone', 'got', 'port', 'got', 'seat', 'board', 'train', 'station', 'guests', 'told', 'bus', 'full', 'hotel', 'staff', 'lovely', 'able', 'help', 'everything', 'needed', 'enjoyed', 'perks', 'booking', 'directly', 'hotel', 'free', 'access', 'spa', 'downstairs', 'treat', 'room', 'honeymoon', 'enjoyed', 'bottle', 'prosecco', 'brought', 'negative', 'housekeeping', 'came', 'knock', 'door', 'quite', 'late', 'already', 'bed', 'morning', 'flight', 'however', 'one', 'night', 'stop', 'would', 'return', 'hotel']"
odd experience,Average,2019-05-01,ours was a one night stopover before catching our flight home the hotel is in an odd location overlooking part of the docks not a particularly pleasant area the foyer was large with some interesting water features but the actual reception area was small with barely enough space for a couple of customers at a time our room was on the third floor and a very helpful member of staff explained it s features it was of adequate size for an overnight stay but it had very odd bathroom arrangements the bathroom area was all frosted glass with sliding doors which separated it from the sleeping area the lights were automatic on some sort of movement sensor but the time delay was quite short so they kept going off before you were ready not a problem most of the time but could ,40,May 2019,2019,May,2,142,positive,"['one', 'night', 'stopover', 'catching', 'flight', 'home', 'hotel', 'odd', 'location', 'overlooking', 'part', 'docks', 'particularly', 'pleasant', 'area', 'foyer', 'large', 'interesting', 'water', 'features', 'actual', 'reception', 'area', 'small', 'barely', 'enough', 'space', 'couple', 'customers', 'time', 'room', 'third', 'floor', 'helpful', 'member', 'staff', 'explained', 'features', 'adequate', 'size', 'overnight', 'stay', 'odd', 'bathroom', 'arrangements', 'bathroom', 'area', 'frosted', 'glass', 'sliding', 'doors', 'separated', 'sleeping', 'area', 'lights', 'automatic', 'sort', 'movement', 'sensor', 'time', 'delay', 'quite', 'short', 'kept', 'going', 'ready', 'problem', 'time', 'could']"
cannot recommend,Poor,2019-05-01,a disappointment because an article of clothing left behind in a room could not be retrieved even after one night housekeeping should have been able to find a black pair of pants but after phone calls and emails we have heard nothing very disappointing ,3,May 2019,2019,May,3,44,positive,"['disappointment', 'article', 'clothing', 'left', 'behind', 'room', 'could', 'retrieved', 'even', 'one', 'night', 'housekeeping', 'able', 'find', 'black', 'pair', 'pants', 'phone', 'calls', 'emails', 'heard', 'nothing', 'disappointing']"
good as usual,Excellent,2019-05-01,fifth time in hotel hotel become better and better each time they read our reviews perfect staff very good breakfasts with nice vesuvius view very close to port to travel to amalfi sorrento capri,42,May 2019,2019,May,3,34,positive,"['fifth', 'time', 'hotel', 'hotel', 'become', 'better', 'better', 'time', 'read', 'reviews', 'perfect', 'staff', 'good', 'breakfasts', 'nice', 'vesuvius', 'view', 'close', 'port', 'travel', 'amalfi', 'sorrento', 'capri']"
lovely refuge in a gritty city,Excellent,2019-05-01,i had a relaxing stay at this property perks included the rooftop pool solid gym facility and breakfast with a view the one annoyance i can point to are the automated lights in sections of the rooms one can t make a trip to the bathroom without triggering bright lights that illuminate the entire room because the bathroom walls are glass who thought of that one and the ac didn t have an auto setting which made it hard to regulate either it was on or off ,41,May 2019,2019,May,6,87,negative,"['relaxing', 'stay', 'property', 'perks', 'included', 'rooftop', 'pool', 'solid', 'gym', 'facility', 'breakfast', 'view', 'one', 'annoyance', 'point', 'automated', 'lights', 'sections', 'rooms', 'one', 'make', 'trip', 'bathroom', 'without', 'triggering', 'bright', 'lights', 'illuminate', 'entire', 'room', 'bathroom', 'walls', 'glass', 'thought', 'one', 'auto', 'setting', 'made', 'hard', 'regulate', 'either']"
short visit in town,Excellent,2019-05-01,i visited napoli because i was looking for a sunny escape well the weather wasn t that warm but the people and the city are warm enough nice escape in the south la città ha tante sfaccettature la zona del porto non è tra le più curate o belle però appunto tutto attorno è invitante ,6,May 2019,2019,May,4,55,positive,"['visited', 'napoli', 'looking', 'sunny', 'escape', 'well', 'weather', 'warm', 'people', 'city', 'warm', 'enough', 'nice', 'escape', 'south', 'città', 'tante', 'sfaccettature', 'zona', 'del', 'porto', 'non', 'tra', 'più', 'curate', 'belle', 'però', 'appunto', 'tutto', 'attorno', 'invitante']"
short overnight stay,Very Good,2019-05-01,on out way to the amalfi coast location feels weird at first facing a run down warehouse but turns out to be convenient to walk around the city as well as to get to out of when visiting the region the room junior suite corner harbour view was nuce and well appointed the bed was very good service at breakfast was not great long wait and pear juice never came the worst part was the valet parking we waited 35 mns to get our car and we realized when we parked again it had been scratched not great ,1,May 2019,2019,May,3,98,positive,"['way', 'amalfi', 'coast', 'location', 'feels', 'weird', 'first', 'facing', 'run', 'warehouse', 'turns', 'convenient', 'walk', 'around', 'city', 'well', 'get', 'visiting', 'region', 'room', 'junior', 'suite', 'corner', 'harbour', 'view', 'nuce', 'well', 'appointed', 'bed', 'good', 'service', 'breakfast', 'great', 'long', 'wait', 'pear', 'juice', 'never', 'came', 'worst', 'part', 'valet', 'parking', 'waited', 'mns', 'get', 'car', 'realized', 'parked', 'scratched', 'great']"
